# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
1.45e-07, 0.0001513, 295, -1604.80998878, -1633.79383057, -1605.51452637, -1634.62501373, 0.999561176447, 0.999491514472
1.5e-07, 0.0001513, 295, -1419.65101639, -1446.43395042, -1420.29597638, -1447.19863076, 0.999545897472, 0.999471613413
1.55e-07, 0.0001513, 295, -1260.63465721, -1285.4344251, -1261.226558, -1286.13966286, 0.999530694312, 0.999451663159
1.6e-07, 0.0001513, 295, -1123.42448761, -1146.43249093, -1123.96838585, -1147.08382933, 0.999516091163, 0.999432178907
1.65e-07, 0.0001513, 295, -1004.50411572, -1025.88915789, -1005.00541381, -1026.49243899, 0.999501198626, 0.999412288809
1.7e-07, 0.0001513, 295, -901.005675722, -920.917098526, -901.469298889, -921.477644926, 0.999485702766, 0.999391687467
1.75e-07, 0.0001513, 295, -810.578407753, -829.148730231, -811.005875821, -829.668420915, 0.999472916187, 0.99937361641
1.8e-07, 0.0001513, 295, -731.27441607, -748.621561367, -731.671948245, -749.106942931, 0.999456679765, 0.999352053043
1.85e-07, 0.0001513, 295, -661.486445924, -677.715634508, -661.854910134, -678.167872095, 0.999443285523, 0.999333148022
1.9e-07, 0.0001513, 295, -599.866873736, -615.072232844, -600.209701423, -615.495029356, 0.99942882015, 0.999313078917
1.95e-07, 0.0001513, 295, -545.289564006, -559.555504525, -545.609027408, -559.951380676, 0.999414482925, 0.999293016922
2e-07, 0.0001513, 295, -496.806114152, -510.208513549, -497.103801671, -510.579283879, 0.999401156221, 0.999273824182
2.05e-07, 0.0001513, 295, -453.61369151, -466.220909024, -453.891523925, -466.568701704, 0.999387888073, 0.999254573489
2.1e-07, 0.0001513, 295, -415.030878766, -426.904630271, -415.29085698, -427.231639737, 0.999373985222, 0.999234585092
2.15e-07, 0.0001513, 295, -380.477522902, -391.673646396, -380.72107695, -391.981478905, 0.999360282203, 0.999214675883
2.2e-07, 0.0001513, 295, -349.456897296, -360.026011182, -349.685377129, -360.316179314, 0.999346613132, 0.9991946847
2.25e-07, 0.0001513, 295, -321.542636254, -331.530714964, -321.757236388, -331.804563389, 0.999333037117, 0.999174669504
2.3e-07, 0.0001513, 295, -296.367476525, -305.816353225, -296.569237733, -306.075061499, 0.999319682615, 0.99915475546
2.35e-07, 0.0001513, 295, -273.613952766, -282.561759375, -273.80385571, -282.806436811, 0.999306427063, 0.99913482367
2.4e-07, 0.0001513, 295, -253.006863241, -261.488416941, -253.185833771, -261.720108825, 0.999293125812, 0.999114734114
2.45e-07, 0.0001513, 295, -234.307040473, -242.354184181, -234.475851477, -242.573774151, 0.999280049511, 0.999094749748
2.5e-07, 0.0001513, 295, -217.305893563, -224.947795855, -217.465242867, -225.156084694, 0.999267242423, 0.999074913567
2.55e-07, 0.0001513, 295, -201.82097179, -209.084391923, -201.971575034, -209.282191388, 0.999254334455, 0.999054867194
2.6e-07, 0.0001513, 295, -187.692412541, -194.60193577, -187.834933609, -194.789999369, 0.999241243017, 0.999034531546
2.65e-07, 0.0001513, 295, -174.77990474, -181.358151411, -174.914791399, -181.537010207, 0.999228843612, 0.999014752992
2.7e-07, 0.0001513, 295, -162.959606903, -169.227417532, -163.08735994, -169.397650365, 0.999216658869, 0.998995069692
